Time (yr BP),Antarctic temperature,Antarctic temperature uncertainty
472000,-4.530898392,1.733200144
473000,-4.912396989,1.778787553
474000,-5.375637625,1.731248658
475000,-5.18316197,1.760196904
476000,-4.534389286,1.748874835
477000,-4.177751288,1.646922384
478000,-4.357451583,1.627432573
479000,-4.57001058,1.585027575
480000,-4.431775278,1.565921641
481000,-4.085335412,1.567792513
482000,-3.681177324,1.573821026
483000,-3.271535726,1.565452416
484000,-2.918122446,1.544571238
485000,-2.631163575,1.537211637
486000,-2.317517773,1.561456947
487000,-1.913998297,1.584356749
488000,-1.535500692,1.568670618
489000,-1.368485611,1.543347468
490000,-1.492914717,1.552558774
491000,-1.827970197,1.568023794
492000,-2.193930181,1.550767946
493000,-2.477828958,1.530176893
494000,-2.674893698,1.517554171
495000,-2.770152052,1.506953846
496000,-2.796890286,1.503150544
497000,-2.826355492,1.503231394
498000,-2.875921962,1.506343377
499000,-2.977999163,1.516394052
500000,-3.160643022,1.523821435
501000,-3.338294158,1.51650769
502000,-3.413645832,1.509068032
503000,-3.426498324,1.513493301
504000,-3.52640874,1.54119598
505000,-3.771752931,1.563093186
506000,-3.968026465,1.546150107
507000,-4.071459047,1.560062408
508000,-4.345016629,1.611105752
509000,-4.734776922,1.588672037
510000,-4.968027897,1.528705957
511000,-5.045778703,1.508080506
512000,-5.014043834,1.513051727
513000,-4.842801861,1.534465257
514000,-4.550032793,1.555855496
515000,-4.206714169,1.561633073
516000,-3.880172876,1.554249813
517000,-3.580225967,1.549312788
518000,-3.296429805,1.537834677
519000,-3.103052194,1.51758928
520000,-3.043171236,1.513412701
521000,-3.107947619,1.536968483
522000,-3.341654597,1.579157735
523000,-3.667109476,1.57241554
524000,-3.887281659,1.530889293
525000,-4.005798741,1.514238894
526000,-4.061938395,1.512913267
527000,-4.004065372,1.521447309
528000,-3.93795416,1.551054294
529000,-4.180074289,1.669712719
530000,-4.882395756,1.816722711
531000,-5.759976267,1.783902781
532000,-6.410326616,1.629504826
533000,-6.681679897,1.536218156
534000,-6.640885799,1.522065848
535000,-6.47937618,1.51795759
536000,-6.383485128,1.513156504
537000,-6.44065059,1.53445196
538000,-6.677917275,1.561813765
539000,-6.928780017,1.540213081
540000,-6.99277608,1.513464674
541000,-6.905573719,1.509777316
542000,-6.803620997,1.510734129
543000,-6.83983214,1.523796382
544000,-7.069646745,1.544975715
545000,-7.319491874,1.53838063
546000,-7.32706086,1.545601207
547000,-7.054726368,1.569785005
548000,-6.708617691,1.570929004
549000,-6.343584683,1.602935711
550000,-5.962688937,1.611854531
551000,-5.823446512,1.583261964
552000,-5.820570296,1.600494218
553000,-5.463265065,1.71845804
554000,-4.705893695,1.803793768
555000,-4.016533058,1.727516482
556000,-3.900552974,1.680016258
557000,-4.392539989,1.729974671
558000,-5.073350351,1.710893695
559000,-5.45470222,1.644134172
560000,-5.245343157,1.669881985
561000,-4.623578717,1.710029061
562000,-3.895402279,1.708663933
563000,-3.183784665,1.686095654
564000,-2.53934279,1.645662907
565000,-2.008847854,1.59531563
566000,-1.616121229,1.553944786
567000,-1.348456012,1.529571873
568000,-1.179971074,1.516583188
569000,-1.075401052,1.510020326
570000,-1.008234632,1.506265307
571000,-0.976725275,1.505337404
572000,-0.981893761,1.507956604
573000,-0.982531106,1.510902511
574000,-0.951419413,1.510721781
575000,-0.947679886,1.51006225
576000,-1.013250645,1.513135408
577000,-1.036653468,1.52504475
578000,-0.904921149,1.55784195
579000,-0.86110321,1.648946741
580000,-1.383982034,1.920251776
581000,-2.546018318,2.177281648
582000,-3.965301057,2.19586921
583000,-5.151707544,1.951311598
584000,-5.676643214,1.669546487
585000,-5.667596441,1.56696463
586000,-5.61380332,1.557610023
587000,-5.493993197,1.631399358
588000,-4.977599407,1.763682517
589000,-4.269360204,1.75997926
590000,-4.007254733,1.717450369
591000,-4.355802557,1.729628063
592000,-4.67322949,1.632869531
593000,-4.522700586,1.594659501
594000,-4.209025342,1.597782444
595000,-4.271596785,1.684856215
596000,-4.876779207,1.791435324
597000,-5.51232097,1.688558597
598000,-5.638194444,1.587748237
599000,-5.343886668,1.574811905
600000,-4.963766795,1.564565021
601000,-4.590500955,1.565317815
602000,-4.243439649,1.548693247
603000,-3.968318334,1.531786857
604000,-3.697278113,1.538918983
605000,-3.37387287,1.55241894
606000,-2.985747481,1.583707527
607000,-2.478567877,1.63447989
608000,-1.876487798,1.648918872
609000,-1.323720121,1.603623464
610000,-0.970412973,1.540765673
611000,-0.8229554,1.511791637
612000,-0.723251902,1.510414166
613000,-0.594573765,1.510758138
614000,-0.497067183,1.508259498
615000,-0.510968925,1.517560345
616000,-0.701774659,1.54226861
617000,-0.996633395,1.544640682
618000,-1.226836661,1.524431603
619000,-1.350667628,1.513444064
620000,-1.414446954,1.514431681
621000,-1.52873852,1.526512139
622000,-1.74343536,1.529536544
623000,-1.927787471,1.515785432
624000,-2.018263052,1.525509396
625000,-2.216054566,1.63814273
626000,-2.871251744,1.91271061
627000,-4.053253276,2.153272492
628000,-5.457842956,2.16528914
629000,-6.700934328,1.950543008
630000,-7.509373161,1.680473734
631000,-7.85515105,1.539689615
632000,-7.889413855,1.512399767
633000,-7.82936839,1.51302993
634000,-7.871467067,1.515809302
635000,-7.977789718,1.512686336
636000,-7.976912376,1.510628312
637000,-7.884582843,1.510024296
638000,-7.861307548,1.507284698
639000,-7.940131586,1.506587603
640000,-8.001659814,1.506803795
641000,-7.924149161,1.522404157
642000,-7.669570346,1.547471431
643000,-7.334533951,1.546019722
644000,-7.073504022,1.52144787
645000,-6.955749953,1.504979294
646000,-6.936071066,1.501898799
647000,-6.908900535,1.506418906
